instead,RB
",",","
the,DT
gao,NNP
and,CC
the,DT
congressional,NNP
budget,NNP
office,NNP
said,VBD
",",","
the,DT
rtc,NNP
should,MD
consider,VB
using,VBG
treasury,NNP
debt,NN
",",","
which,WDT
is,VBZ
less,RBR
expensive,JJ
and,CC
subject,JJ
to,TO
oversight,NN
by,IN
congress,NNP
.,.
EOS,EOS
the,DT
spending,NN
could,MD
be,VB
exempted,VBN
from,IN
meeting,VBG
deficit-reduction,JJ
targets,NNS
in,IN
the,DT
gramm-rudman,NNP
budget,NN
law,NN
.,.
EOS,EOS
the,DT
rtc,NNP
has,VBZ
projected,VBN
that,IN
it,PRP
will,MD
require,VB
between,IN
$,$
50,CD
billion,CD
to,TO
$,$
100,CD
billion,CD
in,IN
temporary,JJ
working,JJ
capital,NN
.,.
EOS,EOS
the,DT
borrowing,NN
to,TO
raise,VB
these,DT
funds,NNS
would,MD
be,VB
paid,VBN
off,RB
as,IN
assets,NNS
of,IN
sick,JJ
thrifts,NNS
are,VBP
sold,VBN
.,.
EOS,EOS
the,DT
new,JJ
s&l,NN
law,NN
allows,VBZ
the,DT
rtc,NNP
to,TO
issue,VB
notes,NNS
for,IN
as,RB
much,JJ
as,IN
85,CD
%,NN
of,IN
the,DT
value,NN
of,IN
the,DT
assets,NNS
it,PRP
holds,VBZ
.,.
EOS,EOS
but,CC
higher,JJR
interest,NN
rates,NNS
paid,VBN
on,IN
off-budget,JJ
debt,NN
could,MD
add,VB
billions,NNS
to,TO
the,DT
bailout,NN
costs,NNS
",",","
and,CC
would,MD
n't,RB
be,VB
subject,JJ
to,TO
congressional,JJ
scrutiny,NN
",",","
ways,NNPS
and,CC
means,NNPS
members,NNS
argued,VBD
.,.
EOS,EOS
``,``
to,TO
allow,VB
this,DT
massive,JJ
level,NN
of,IN
unfettered,JJ
federal,JJ
borrowing,NN
without,IN
prior,JJ
congressional,JJ
approval,NN
would,MD
be,VB
irresponsible,JJ
",",","
'',''
said,VBD
rep.,NNP
fortney,NNP
stark,NNP
(,(
d.,NNP
",",","
calif.,NNP
),)
",",","
who,WP
has,VBZ
introduced,VBN
a,DT
bill,NN
to,TO
limit,VB
the,DT
rtc,NNP
's,POS
authority,NN
to,TO
issue,VB
debt,NN
.,.
EOS,EOS
the,DT
rtc,NNP
will,MD
have,VB
to,TO
sell,VB
or,CC
merge,VB
hundreds,NNS
of,IN
insolvent,JJ
thrifts,NNS
over,IN
the,DT
next,JJ
three,CD
years,NNS
.,.
EOS,EOS
the,DT
new,JJ
s&l,NN
bailout,NN
law,NN
allows,VBZ
$,$
50,CD
billion,CD
to,TO
be,VB
spent,VBN
to,TO
sell,VB
or,CC
merge,VB
sick,JJ
s&ls,NNS
and,CC
their,PRP$
assets,NNS
",",","
but,CC
that,DT
is,VBZ
a,DT
net,JJ
cost,NN
.,.
EOS,EOS
in,IN
the,DT
meantime,NN
",",","
the,DT
agency,NN
must,MD
raise,VB
cash,NN
to,TO
maintain,VB
assets,NNS
",",","
such,JJ
as,IN
real,JJ
estate,NN
",",","
until,IN
they,PRP
can,MD
be,VB
sold,VBN
.,.
EOS,EOS
then,RB
the,DT
short-term,JJ
debt,NN
is,VBZ
paid,VBN
off,RB
through,IN
the,DT
proceeds,NNS
of,IN
selling,VBG
the,DT
assets,NNS
.,.
EOS,EOS
david,NNP
mullins,NNP
",",","
assistant,NN
secretary,NN
of,IN
the,DT
treasury,NNP
",",","
said,VBD
that,IN
the,DT
working,JJ
capital,NN
is,VBZ
necessary,JJ
to,TO
reduce,VB
the,DT
final,JJ
costs,NNS
of,IN
the,DT
bailout,NN
",",","
by,IN
allowing,VBG
the,DT
agency,NN
to,TO
sell,VB
savings,NNS
and,CC
loans,NNS
without,IN
their,PRP$
bad,JJ
assets,NNS
",",","
then,RB
hold,VB
the,DT
assets,NNS
until,IN
they,PRP
can,MD
be,VB
sold,VBN
under,IN
favorable,JJ
conditions,NNS
.,.
EOS,EOS
he,PRP
said,VBD
it,PRP
has,VBZ
n't,RB
yet,RB
been,VBN
determined,VBN
how,WRB
the,DT
rtc,NNP
will,MD
raise,VB
the,DT
cash,NN
",",","
but,CC
the,DT
administration,NN
does,VBZ
n't,RB
want,VB
it,PRP
to,TO
be,VB
included,VBN
on,IN
the,DT
federal,JJ
budget,NN
",",","
because,IN
it,PRP
would,MD
``,``
